ID,AGE_YEARS,AGE_MONTHS,nlang,multilingual,FR_native,all_languages,L1_AoA,L2_AoA,L3_AoA,L4_AoA,L5_AoA,L6_AoA,L7_AoA,L8_AoA,L9_AoA,L1_proficiency,L2_proficiency,L3_proficiency,L4_proficiency,L5_proficiency,L6_proficiency,L7_proficiency,L8_proficiency,L9_proficiency
M10947,21.916666666666668,263,1,0,1,['Français '],,,,,,,,,,,,,,,,,,
M10952 ,22.833333333333332,274,1,0,1,['français'],,,,,,,,,,,,,,,,,,
M10966,19.75,237,1,0,1,['français suisse'],,,,,,,,,,,,,,,,,,
M10951,20.666666666666668,248,1,0,1,['Français'],,,,,,,,,,,,,,,,,,
M10944,18.833333333333332,226,1,0,1,['Francais'],,,,,,,,,,,,,,,,,,
