ID,AGE_YEARS,AGE_MONTHS,nlang,multilingual,FR_native,all_languages,L1_AoA,L2_AoA,L3_AoA,L4_AoA,L5_AoA,L6_AoA,L7_AoA,L8_AoA,L9_AoA,L1_proficiency,L2_proficiency,L3_proficiency,L4_proficiency,L5_proficiency,L6_proficiency,L7_proficiency,L8_proficiency,L9_proficiency
M10959,20.416666666666668,245,5,1,1,"['Français ', 'Allemand', 'Anglais', 'Latin', 'Espagnol']",1.25,14.5,3.5,7.5,6.0,,,,,10.0,8.0,2.3333333333333335,1.0,0.0,,,,
M10958,24.416666666666668,293,2,1,1,"['Français', 'Anglais']",1.75,16.0,,,,,,,,10.0,7.666666666666667,,,,,,,
M10926,25.75,309,6,1,0,"['Ukrainien', 'Russe', 'Portugais', 'Anglais', 'Français', 'Espagnol']",10.5,1.5,16.0,12.5,6.5,13.0,,,,10.0,9.666666666666666,9.333333333333334,9.666666666666666,9.666666666666666,6.333333333333333,,,
M10929,19.75,237,6,1,1,"['français', 'portugais', 'allemand', 'anglais', 'italien', 'espagnol']",1.95,3.5,15.3,11.8,9.8,14.65,,,,9.666666666666666,8.333333333333334,8.0,7.333333333333333,4.0,3.6666666666666665,,,
M10941,23.333333333333332,280,3,1,1,"['français', 'turc', 'kurde']",2.5,4.5,2.0,,,,,,,10.0,5.666666666666667,1.0,,,,,,
M10953,19.583333333333332,235,6,1,1,"['Français', 'Italien', 'Sicilien', 'Allemand', 'Suisse-Allemand', 'Anglais']",1.55,8.25,13.0,8.25,9.5,10.0,,,,9.0,6.666666666666667,5.666666666666667,3.3333333333333335,1.0,0.0,,,
M10973,20.416666666666668,245,5,1,1,"['Francais', 'Espagnol', 'Anglais', 'Allemand', 'Japonais']",3.0,9.5,1.75,6.0,13.0,,,,,10.0,9.0,9.0,5.333333333333333,1.6666666666666667,,,,
M10935,18.416666666666668,221,7,1,0,"['Roumain', 'Français', 'anglais', 'allemand', 'italien', 'espagnol', 'flamand']",2.25,2.0,9.5,12.5,14.5,13.5,17.0,,,10.0,9.0,9.333333333333334,4.333333333333333,2.0,1.3333333333333333,0.3333333333333333,,
M10963,22.0,264,4,1,1,"['Français ', 'Allemand', 'Anglais', 'Espagnol']",2.5,14.5,17.0,12.5,,,,,,,8.0,5.0,2.3333333333333335,,,,,
M10949,21.333333333333332,256,2,1,1,"['Francais (suisse)', 'Anglais ']",2.0,15.0,,,,,,,,9.666666666666666,6.333333333333333,,,,,,,
M10937,21.666666666666668,260,4,1,0,"['suisse allemand', 'français', 'allemand', 'anglais']",3.0,2.0,14.5,11.5,,,,,,9.333333333333334,4.666666666666667,7.0,5.666666666666667,,,,,
M10960,23.083333333333332,277,5,1,1,"['Francais', 'Allemand', 'Anglais', 'Russe', 'Espagnol']",0.75,12.0,15.0,22.0,12.0,,,,,10.0,6.333333333333333,7.666666666666667,1.3333333333333333,1.0,,,,
M10933,22.083333333333332,265,3,1,1,"['Français', 'Portugais', 'Anglais']",2.5,14.5,3.5,,,,,,,10.0,7.0,4.666666666666667,,,,,,
M10932,22.25,267,2,1,1,"['Français Suisse', 'Portugais Portugal']",3.25,7.0,,,,,,,,10.0,6.333333333333333,,,,,,,
M10940,20.75,249,7,1,0,"['Thaïlandais', 'Français', 'Italien', 'Allemand', 'Anglais', 'Latin ', 'Grec Ancien']",0.0,10.0,15.0,12.0,1.55,7.5,6.0,,,10.0,5.0,7.666666666666667,4.0,0.0,0.0,0.0,,
M10912,20.166666666666668,242,2,1,0,"['Portugais', 'Français']",6.35,1.5,,,,,,,,10.0,8.333333333333334,,,,,,,
M10921,34.916666666666664,419,3,1,0,"['russe', 'anglais', 'francais']",2.0,11.0,14.0,,,,,,,10.0,8.0,5.333333333333333,,,,,,
M10918,22.166666666666668,266,4,1,0,"['Russe', 'Ukrainienne', 'Anglais', 'Français']",2.0,4.0,9.5,16.5,,,,,,10.0,9.666666666666666,7.333333333333333,4.333333333333333,,,,,
M10971,20.75,249,3,1,1,"['Français ', 'Italien ', 'Anglais ']",0.0,0.0,10.0,,,,,,,9.333333333333334,8.0,4.666666666666667,,,,,,
M10961,21.083333333333332,253,2,1,1,"['français', 'anglais']",1.25,12.0,,,,,,,,10.0,7.0,,,,,,,
M10968,22.5,270,4,1,1,"['francais', 'allemand', 'anglais', 'espagnol']",2.0,12.0,11.5,17.5,,,,,,10.0,7.333333333333333,3.0,4.0,,,,,
M10955,22.333333333333332,268,5,1,1,"['Français suisse', 'Suisse allemand', 'Allemand', 'Anglais', 'Espagnol']",1.4,14.05,16.5,13.85,,,,,,10.0,7.0,5.666666666666667,3.3333333333333335,0.3333333333333333,,,,
M10950,20.0,240,4,1,1,"['Français', 'allemand', 'anglais ', 'espagnol']",1.5,14.0,17.5,7.0,,,,,,9.0,8.0,4.0,3.0,,,,,
M10925,22.666666666666668,272,4,1,0,"['Turc', 'Anglais', 'Français', 'Allemand']",8.0,0.5,12.25,12.25,,,,,,9.0,8.666666666666666,8.0,5.666666666666667,,,,,
M10975,21.416666666666668,257,5,1,0,"['Turc', 'Français', 'Kurde', 'Anglais', 'Allemand']",2.0,4.0,9.0,10.5,,,,,,9.666666666666666,9.666666666666666,8.333333333333334,5.333333333333333,0.6666666666666666,,,,
M10967,18.833333333333332,226,5,1,1,"['Français ', 'Arabe ', 'Anglais ', 'Allemand ', 'Espagnol ']",2.0,8.0,3.0,16.0,13.0,,,,,9.0,4.666666666666667,4.0,1.3333333333333333,0.6666666666666666,,,,
M10948,22.333333333333332,268,5,1,1,"['Français', 'Portugais', 'Allemand', 'Anglais', 'Espagnol']",4.5,14.0,5.0,12.0,15.0,,,,,8.666666666666666,5.666666666666667,4.333333333333333,1.0,1.6666666666666667,,,,
M10942,22.5,270,3,1,1,"['Francais', 'Arabe', 'Italien']",2.0,10.0,10.5,,,,,,,10.0,6.0,3.0,,,,,,
M10916,19.75,237,5,1,0,"['Russe', 'Néerlandais ', 'Anglais', 'Francais ', 'Allemand ']",7.75,0.85,11.35,13.5,5.4,,,,,10.0,9.333333333333334,8.333333333333334,8.0,1.6666666666666667,,,,
M10954,20.583333333333332,247,2,1,1,"['Français', 'Anglais']",1.5,15.5,,,,,,,,10.0,8.666666666666666,,,,,,,
M10849,21.5,258,4,1,1,"['francais', 'italien', 'portugais', 'anglais']",3.0,10.0,10.5,14.5,,,,,,10.0,7.333333333333333,2.6666666666666665,5.0,,,,,
M10946,20.083333333333332,241,4,1,1,"['Français ', 'Allemand ', 'Anglais ', 'Italien ']",1.5,13.0,4.0,0.5,,,,,,10.0,9.333333333333334,4.333333333333333,3.6666666666666665,,,,,
M10972,20.583333333333332,247,4,1,0,"['dialecte marocain', 'français ', 'arabe classique ', 'anglais']",2.5,8.0,10.0,6.5,,,,,,9.333333333333334,9.666666666666666,9.0,5.666666666666667,,,,,
